IP地址,端口,TLS,城市,TCP延迟(ms),速度(MB/s)
34.65.84.112,443,TRUE,Frankfurt,175,5.37
34.65.182.101,443,TRUE,Frankfurt,176,5.37
34.65.210.130,443,TRUE,Frankfurt,177,5.35
34.118.91.168,443,TRUE,Frankfurt,189,5.31
34.118.74.5,443,TRUE,Frankfurt,192,5.29
34.116.234.141,443,TRUE,Frankfurt,186,5.28
34.118.56.2,443,TRUE,Frankfurt,188,5.28
34.65.151.47,443,TRUE,Frankfurt,177,5.27
34.154.255.184,443,TRUE,Frankfurt,180,5.26
34.65.97.68,443,TRUE,Frankfurt,170,5.25
34.65.246.204,443,TRUE,Frankfurt,175,5.24
34.159.193.79,443,TRUE,Frankfurt,168,5.22
34.118.23.146,443,TRUE,Frankfurt,173,5.2
34.65.241.245,443,TRUE,Frankfurt,166,5.18
34.65.123.250,443,TRUE,Frankfurt,165,5.17
34.116.217.223,443,TRUE,Frankfurt,261,5.16
34.65.122.235,443,TRUE,Frankfurt,182,5.16
34.65.64.244,443,TRUE,Frankfurt,198,5.16
34.65.119.116,443,TRUE,Frankfurt,178,5.15
34.118.89.180,443,TRUE,Frankfurt,182,5.11
34.118.113.252,443,TRUE,Frankfurt,202,5.11
34.118.33.174,443,TRUE,Frankfurt,184,5.11
34.118.24.250,443,TRUE,Frankfurt,187,5.09
34.65.213.174,443,TRUE,Frankfurt,176,5.08
34.65.94.94,443,TRUE,Frankfurt,180,5.07
34.116.228.34,443,TRUE,Frankfurt,251,5.07
34.118.7.118,443,TRUE,Frankfurt,185,5.04
34.65.239.218,443,TRUE,Frankfurt,175,5.03
34.65.7.101,443,TRUE,Frankfurt,187,5.02
34.65.205.105,443,TRUE,Frankfurt,179,5.02
34.116.181.8,443,TRUE,Frankfurt,250,5.02
34.65.235.187,443,TRUE,Frankfurt,178,5.02
34.116.134.240,443,TRUE,Frankfurt,212,5.02
34.116.156.171,443,TRUE,Frankfurt,189,4.99
34.65.89.138,443,TRUE,Frankfurt,176,4.99
34.116.139.71,443,TRUE,Frankfurt,233,4.99
34.118.21.89,443,TRUE,Frankfurt,185,4.98
34.65.24.163,443,TRUE,Frankfurt,174,4.97
34.118.105.92,443,TRUE,Frankfurt,189,4.93
34.116.158.196,443,TRUE,Amsterdam,188,4.9
34.65.97.237,443,TRUE,Singapore,176,4.9
34.118.21.89,443,TRUE,Frankfurt,244,4.9
34.65.50.224,443,TRUE,Frankfurt,177,4.9
34.65.18.221,443,TRUE,Frankfurt,174,4.89
34.118.40.155,443,TRUE,Frankfurt,185,4.88
34.116.147.75,443,TRUE,Frankfurt,236,4.87
34.65.4.95,443,TRUE,Frankfurt,177,4.87
34.65.16.59,443,TRUE,Frankfurt,167,4.86
34.118.81.178,443,TRUE,Frankfurt,186,4.85
34.118.126.168,443,TRUE,Frankfurt,188,4.85
34.118.118.199,443,TRUE,Frankfurt,186,4.84
34.116.240.195,443,TRUE,Frankfurt,230,4.8
34.116.157.238,443,TRUE,Frankfurt,183,4.8
34.116.239.18,443,TRUE,Frankfurt,234,4.79
34.65.214.30,443,TRUE,Frankfurt,177,4.79
34.65.106.214,443,TRUE,Frankfurt,176,4.77
34.116.198.118,443,TRUE,Frankfurt,188,4.77
34.65.154.40,443,TRUE,Frankfurt,199,4.77
34.65.7.101,443,TRUE,Frankfurt,164,4.76
34.65.205.105,443,TRUE,Frankfurt,192,4.76
34.118.11.220,443,TRUE,Frankfurt,246,4.73
34.116.157.238,443,TRUE,Frankfurt,236,4.69
34.65.217.157,443,TRUE,Frankfurt,176,4.68
34.118.121.61,443,TRUE,Frankfurt,188,4.67
34.65.227.171,443,TRUE,Frankfurt,180,4.67
34.65.238.241,443,TRUE,Frankfurt,175,4.66
34.116.251.225,443,TRUE,Frankfurt,233,4.65
34.65.89.138,443,TRUE,Frankfurt,170,4.64
34.65.147.135,443,TRUE,Frankfurt,166,4.64
34.118.114.236,443,TRUE,Frankfurt,189,4.61
34.116.147.75,443,TRUE,Amsterdam,198,4.58
34.118.74.131,443,TRUE,Frankfurt,182,4.57
34.65.227.171,443,TRUE,Frankfurt,179,4.56
34.118.76.197,443,TRUE,Frankfurt,205,4.56
34.65.181.48,443,TRUE,Frankfurt,165,4.54
34.65.7.63,443,TRUE,Frankfurt,189,4.53
34.65.169.189,443,TRUE,Frankfurt,178,4.52
34.65.4.95,443,TRUE,Frankfurt,187,4.47
34.116.141.3,443,TRUE,Frankfurt,241,4.46
